epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7893,1.02559,0.7328,1.03085,0.71398,0.56365,0.64039,0.39624,1.3945,1.37777,1.3018,0.0874,0.0014,0.0014
2,24.3109,1.07371,0.7406,1.07214,0.80596,0.67304,0.7723,0.47251,1.34498,0.81445,1.21768,0.0738617,0.00286172,0.00286172
3,32.2329,1.15751,0.76144,1.09269,0.76639,0.62095,0.70434,0.40138,1.52186,0.95285,1.30957,0.0602838,0.00428384,0.00428384
4,39.9922,1.16671,0.78866,1.10937,0.7719,0.63126,0.71209,0.39785,1.44338,0.91512,1.2441,0.0466664,0.00566636,0.00566636
5,47.1003,1.18508,0.78741,1.10301,0.74036,0.56639,0.65117,0.38925,1.43598,1.06936,1.27447,0.0330093,0.00700928,0.00700928
6,55.4614,1.14556,0.79339,1.10474,0.79544,0.66976,0.76799,0.49775,1.22496,0.80957,1.18511,0.0193126,0.0083126,0.0083126
7,63.1052,1.15327,0.78178,1.10304,0.76896,0.63546,0.71988,0.4542,1.29661,0.96223,1.23697,0.009208,0.009208,0.009208
8,70.956,1.2194,0.83991,1.13722,0.76608,0.67872,0.74948,0.47958,1.2511,0.87472,1.19027,0.009076,0.009076,0.009076
9,78.8961,1.2073,0.836,1.12014,0.73423,0.64223,0.71711,0.4486,1.26166,1.19651,1.19701,0.008944,0.008944,0.008944
10,86.1476,1.16524,0.81531,1.11407,0.78654,0.68438,0.7738,0.50707,1.16032,0.91048,1.14583,0.008812,0.008812,0.008812
11,93.2097,1.20909,0.82196,1.1388,0.79348,0.68256,0.77927,0.522,1.13139,0.81858,1.12226,0.00868,0.00868,0.00868
12,100.588,1.14609,0.80199,1.10124,0.78793,0.67673,0.77511,0.52831,1.08587,0.83836,1.09974,0.008548,0.008548,0.008548
13,107.957,1.16049,0.80213,1.11851,0.78784,0.65454,0.76066,0.47638,1.2957,0.86626,1.2027,0.008416,0.008416,0.008416
14,114.866,1.19468,0.83088,1.13739,0.78785,0.68799,0.78556,0.51807,1.16078,0.79868,1.13649,0.008284,0.008284,0.008284
15,122.152,1.19828,0.8292,1.13944,0.79633,0.67956,0.77191,0.51264,1.15149,0.82721,1.11926,0.008152,0.008152,0.008152
16,129.221,1.14343,0.80475,1.10991,0.81147,0.67824,0.78028,0.50919,1.19521,0.79661,1.14958,0.00802,0.00802,0.00802
17,136.651,1.16694,0.80009,1.11198,0.8005,0.69581,0.78905,0.51733,1.16174,0.79359,1.12813,0.007888,0.007888,0.007888
18,143.665,1.15849,0.79663,1.09875,0.79855,0.69602,0.7898,0.5288,1.14049,0.77212,1.11296,0.007756,0.007756,0.007756
19,150.821,1.15157,0.8016,1.10421,0.80371,0.71756,0.80719,0.56221,1.05696,0.74004,1.07709,0.007624,0.007624,0.007624
20,157.915,1.14674,0.79755,1.10388,0.82989,0.7201,0.82445,0.57512,1.00565,0.71671,1.05183,0.007492,0.007492,0.007492
21,165.298,1.16778,0.81288,1.10897,0.81763,0.69829,0.80857,0.56127,1.04567,0.73845,1.06436,0.00736,0.00736,0.00736
22,172.756,1.14792,0.79316,1.1001,0.81472,0.71805,0.81018,0.54635,1.11039,0.73774,1.09956,0.007228,0.007228,0.007228
23,179.799,1.14323,0.79729,1.11228,0.7907,0.70507,0.79942,0.53392,1.12817,0.77108,1.11536,0.007096,0.007096,0.007096
24,187.303,1.15645,0.80332,1.11416,0.80141,0.71112,0.79669,0.55438,1.05458,0.78173,1.07026,0.006964,0.006964,0.006964
25,194.689,1.1206,0.77132,1.08157,0.82064,0.7139,0.81084,0.5768,1.00306,0.76972,1.05018,0.006832,0.006832,0.006832
26,201.88,1.12338,0.79226,1.09729,0.7951,0.71902,0.80876,0.58103,0.99141,0.72117,1.03757,0.0067,0.0067,0.0067
27,208.975,1.12417,0.77262,1.09018,0.82772,0.71682,0.81541,0.57839,1.0101,0.72099,1.04635,0.006568,0.006568,0.006568
28,216.022,1.09335,0.76367,1.07891,0.81567,0.73006,0.82019,0.58896,0.98198,0.6787,1.03887,0.006436,0.006436,0.006436
29,223.098,1.07756,0.74062,1.07204,0.81612,0.7311,0.82605,0.59365,0.98111,0.66854,1.03606,0.006304,0.006304,0.006304
30,230.124,1.13358,0.77848,1.08625,0.829,0.71489,0.82104,0.57669,1.01612,0.69489,1.04626,0.006172,0.006172,0.006172
